('Phone__PhoneName', 'Phone__Name')
('Phone__Price', 'Phone__OriginPrice')
('Phone__Image', 'Phoneimage__ImageUrl')
('Phone__Color', 'Phone__Color')
('Phone__Producer', 'Phone__Company')
('Information__PhoneID', 'Phoneimage__PhoneID')
('Information__PhoneID', 'Phoneinformation__PhoneID')
('Information__Memory', 'Phoneinformation__Memory')
('Information__Ram', 'Phoneinformation__Ram')
('Information__Chip', 'Phoneinformation__Chip')
('Information__FrontCamera', 'Phoneinformation__FrontCamera')
('Information__BehindCamera', 'Phoneinformation__BehindCamera')
('Information__OperationSystem', 'Phoneinformation__OperatingSystem')
('Information__Screen', 'Phoneinformation__Screen')
