color,image_url,name,price
Tím,https://image.cellphones.com.vn/358x/media/catalog/product/_/0/_0002_layer_4_1.jpg,iPhone 11 64GB I Chính hãng VN/A,11.790.000
Trắng,https://image.cellphones.com.vn/358x/media/catalog/product/_/0/_0005_layer_6_1.jpg,iPhone 11 64GB I Chính hãng VN/A,11.790.000
Vàng,https://image.cellphones.com.vn/358x/media/catalog/product/_/0/_0001_layer_2_1.jpg,iPhone 11 64GB I Chính hãng VN/A,11.790.000
Xanh lá,https://image.cellphones.com.vn/358x/media/catalog/product/_/0/_0003_layer_3_1.jpg,iPhone 11 64GB I Chính hãng VN/A,11.690.000
Đen,https://image.cellphones.com.vn/358x/media/catalog/product/_/0/_0000_layer_1_1.jpg,iPhone 11 64GB I Chính hãng VN/A,11.790.000
Đỏ,https://image.cellphones.com.vn/358x/media/catalog/product/_/0/_0004_layer_5_1.jpg,iPhone 11 64GB I Chính hãng VN/A,11.790.000
Cam,https://image.cellphones.com.vn/358x/media/catalog/product/t/_/t_i_xu_ng_15__1_5.png,OPPO Reno7 4G (8GB - 128GB),7.890.000
Đen,https://image.cellphones.com.vn/358x/media/catalog/product/t/_/t_i_xu_ng_16__1_4.png,OPPO Reno7 4G (8GB - 128GB),7.890.000
Xanh,https://image.cellphones.com.vn/358x/media/catalog/product/c/o/combo_product_-_blue_-_reno7_5g_1.png,OPPO Reno7 (5G),11.640.000
Đen,https://image.cellphones.com.vn/358x/media/catalog/product/c/o/combo_product_-_black_-_reno7_5g_1.png,OPPO Reno7 (5G),11.640.000
Vàng,https://image.cellphones.com.vn/25x/media/catalog/product/x/i/xiaomi-mi-11-lite-5g-1.jpg,Xiaomi Mi 11 Lite 5G,7.490.000
Xanh bạc hà,https://image.cellphones.com.vn/358x/media/catalog/product/x/i/xiaomi-mi-11-lite-5g-2_2.jpg,Xiaomi Mi 11 Lite 5G,7.490.000
Đen,https://image.cellphones.com.vn/358x/media/catalog/product/x/i/xiaomi-mi-11-lite-5g-3.jpg,Xiaomi Mi 11 Lite 5G,7.490.000
Bạc,https://image.cellphones.com.vn/358x/media/catalog/product/c/o/combo_product_-_rainbow_spectrum_-_reno7_z_1.png,OPPO Reno7 Z (5G),9.390.000
Đen,https://image.cellphones.com.vn/358x/media/catalog/product/c/o/combo_product_-_cosmic_black_-_reno7_z_1.png,OPPO Reno7 Z (5G),9.390.000
Tím,https://image.cellphones.com.vn/358x/media/catalog/product/i/p/iphone-11_3__1.jpg,iPhone 11 128GB I Chính hãng VN/A,13.500.000
Trắng,https://image.cellphones.com.vn/358x/media/catalog/product/i/p/iphone-11_6__1.jpg,iPhone 11 128GB I Chính hãng VN/A,13.500.000
Vàng,https://image.cellphones.com.vn/358x/media/catalog/product/i/p/iphone-11_2__1.jpg,iPhone 11 128GB I Chính hãng VN/A,13.400.000
Xanh lá,https://image.cellphones.com.vn/358x/media/catalog/product/i/p/iphone-11_4__1.jpg,iPhone 11 128GB I Chính hãng VN/A,13.500.000
Đen,https://image.cellphones.com.vn/358x/media/catalog/product/i/p/iphone-11_1__1.jpg,iPhone 11 128GB I Chính hãng VN/A,13.600.000
Đỏ,https://image.cellphones.com.vn/358x/media/catalog/product/i/p/iphone-11_5__1.jpg,iPhone 11 128GB I Chính hãng VN/A,13.500.000
Trắng,https://image.cellphones.com.vn/358x/media/catalog/product/x/i/xiaomi_redmi_note_.jpg_pro_5g_blanco_01_l_1.jpg,Xiaomi Redmi Note 11 Pro 5G,8.490.000
Xám,https://image.cellphones.com.vn/358x/media/catalog/product/k/6/k6sblack_1.png,Xiaomi Redmi Note 11 Pro 5G,8.490.000
Xanh dương,https://image.cellphones.com.vn/358x/media/catalog/product/x/i/xiaomi_redmi_note_.jpg_pro_5g_01_1.jpg,Xiaomi Redmi Note 11 Pro 5G,8.490.000
